"scientific_name","ComName","Last_assessment","avg_model_category","Catch_gap","Abundance_gap","LH_gap","Comp_gap","Eco_gap","Region","Functional_group","Repro_strat","Hab_spec","Prey_spec","Exposure","Sensitivity"
"Scomberomorus _ sierra","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ tritor","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ tritor","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ tritor","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ tritor","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Scomberomorus _ tritor","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Scomberomorus _ tritor","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Chloroscombrus _ chrysurus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Chloroscombrus _ chrysurus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
"Chloroscombrus _ chrysurus","Spanish mackerel",2013,6,1,1,2,2,2,"gulf","Coastal Pelagic",1.68,1.92,1.6,4,1.64
"Chloroscombrus _ chrysurus","Spanish mackerel",2013,6,1,1,2,2,2,"sava","Coastal Pelagic",2.2,1.8,1.6,4,1.8
