"scientific_name","common_name","stock_name","stock_area","overfishing","overfished","assessment_level","last_assessment","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","tmax","tm","rho","Fmsy_over_M","MASPS","margsd","Loo","K","M","r","status","tmax2","margsd2","rho2","Fmsy_over_M2","status2","avg_p_score","avg_s_score","score"
"Caulolatilus _ microps","Blueline tilefish","Blueline tilefish - Southern Atlantic Coast","Southern Atlantic Coast","Unknown","Unknown",2,2,0,2,3,3,2,2,3,3,1,2,2,1,3,1,2,2,2,2,2,2,2,2,2,3,1,2,2.07142857142857,2,2.03571428571429
"Centropristis _ striata","Black sea bass","Black sea bass - Mid-Atlantic Coast","Mid-Atlantic Coast","No","No",2,3,1,3,2,3,2,2,3,3,1,2,3,2,2,1,3,2,1,3,3,3,3,3,2,2,1,3,2.5,2.15384615384615,2.32692307692308
"Centropristis _ striata","Black sea bass","Black sea bass - Southern Atlantic Coast","Southern Atlantic Coast","No","No",2,2,1,3,2,3,2,2,3,3,1,2,3,2,2,1,3,2,1,3,3,3,3,3,2,2,1,3,2.5,2.07692307692308,2.28846153846154
"Chaceon _ quinquedens","Red deepsea crab","Red deepsea crab - Northwestern Atlantic","Northwestern Atlantic","Unknown","Unknown",1,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.92307692307692,1.96153846153846
"Chionoecetes _ bairdi","Southern Tanner crab","Southern Tanner crab - Bering Sea","Bering Sea","No","No",2,3,0,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2.23076923076923,2.11538461538462
"Chionoecetes _ opilio","Snow crab","Snow crab - Bering Sea","Bering Sea","Unknown","Unknown",2,3,0,3,2,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.07142857142857,2.07692307692308,2.07417582417582
"Chlorurus _ microrhinos","Steephead parrotfish","Steephead parrotfish - Guam","Guam","Unknown","Unknown",2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,3,2,2,2,2,2,1,1,2,2,1.69230769230769,1.84615384615385
"Chlorurus _ perspicillatus","Spectacled parrotfish","Spectacled parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Unknown","Unknown",1,2,2,2,2,2,2,3,2,3,1,2,2,2,1,1,2,1,1,3,2,2,2,2,1,1,1,2,2,1.61538461538462,1.80769230769231
"Chlorurus _ sordidus","Bullethead parrotfish","Bullethead parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Unknown","Unknown",1,2,2,2,2,2,2,2,2,3,1,2,2,3,1,1,2,1,1,3,2,2,2,2,1,1,1,2,2,1.61538461538462,1.80769230769231
"Citharichthys _ sordidus","Pacific sanddab","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,1,3,3,3,2,3,2,1,1,2,2.42857142857143,1.76923076923077,2.0989010989011
"Citharichthys _ sordidus","Pacific sanddab","Pacific sanddab - Pacific Coast","Pacific Coast","Unknown","No",2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,1,3,3,3,2,3,2,1,1,2,2.42857142857143,1.76923076923077,2.0989010989011
"Clidoderma _ asperrimum","Roughscale sole","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1.78571428571429,1.76923076923077,1.77747252747253
"Clupea _ harengus","Atlantic herring","Atlantic herring - Northwestern Atlantic Coast","Northwestern Atlantic Coast","No","Yes",2,3,0,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1.71428571428571,1.76923076923077,1.74175824175824
"Coryphaenoides _ acrolepis","Pacific grenadier","Pacific grenadier - Pacific Coast","Pacific Coast","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,1,2,2,1,1,1,2,1,2,2,3,2,1.5,2,1.75
"Dasycottus _ setiger","Spinyhead sclupin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1.71428571428571,1.92307692307692,1.81868131868132
"Dipturus _ laevis","Barndoor skate","Barndoor skate - Georges Bank / Southern New England","Georges Bank / Southern New England","Unknown","Unknown",1,3,3,3,3,3,2,2,2,2,2,2,2,1,2,3,1,3,3,1,2,1,2,2,3,2,3,2,1.92857142857143,2.38461538461538,2.15659340659341
"Embassichthys _ bathybius","Deepsea sole","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1.85714285714286,1.92307692307692,1.89010989010989
"Engraulis _ mordax","Northern anchovy","Northern anchovy - Southern Pacific Coast","Southern Pacific Coast","No","Unknown",2,2,0,3,3,3,1,2,2,2,2,2,3,3,1,1,2,2,1,3,3,3,2,3,2,1,1,2,2.35714285714286,1.76923076923077,2.06318681318681
"Enophrys _ diceraus","Antlered sculpin","Bering Sea / Aleutian Islands Sculpin Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,3,2,1,2,3,3,2,3,2,2,1,2,2.28571428571429,1.92307692307692,2.1043956043956
"Enteroctopus _ dofleini","Giant octopus","Giant octopus - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Enteroctopus _ dofleini","Giant octopus","Giant octopus - Gulf of Alaska","Gulf of Alaska","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.92307692307692,1.96153846153846
"Eopsetta _ jordani","Petrale sole","Bering Sea / Aleutian Islands Other Flatfish Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1.92857142857143,1.92307692307692,1.92582417582418
"Eopsetta _ jordani","Petrale sole","Petrale sole - Pacific Coast","Pacific Coast","No","No",2,3,0,3,2,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,2,2,2,1,3,1.92857142857143,2.15384615384615,2.04120879120879
"Epinephelus _ guttatus","Red hind","Red hind - Caribbean","Caribbean","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,3,3,1,2,2,2,2,2,3,3,1,2,2.07142857142857,2,2.03571428571429
"Epinephelus _ itajara","Goliath grouper","Goliath grouper - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",1,2,2,2,2,2,2,1,2,3,1,2,1,1,3,1,2,3,3,1,1,1,2,1,3,3,1,2,1.78571428571429,1.92307692307692,1.8543956043956
"Epinephelus _ itajara","Goliath grouper","Goliath grouper - Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","Unknown","Unknown",2,3,0,1,2,2,2,1,2,3,1,2,1,1,3,1,2,3,3,1,1,1,2,1,3,3,1,2,1.78571428571429,1.84615384615385,1.81593406593407
"Epinephelus _ morio","Red grouper","Red grouper - Gulf of Mexico","Gulf of Mexico","No","No",3,3,0,3,1,2,3,2,2,3,1,2,2,1,3,1,2,3,2,1,2,2,3,2,3,3,1,3,2.07142857142857,2.23076923076923,2.1510989010989
"Epinephelus _ morio","Red grouper","Red grouper - Southern Atlantic Coast","Southern Atlantic Coast","Unknown","Unknown",2,2,1,3,2,2,2,2,2,3,1,2,2,1,3,1,2,3,2,1,2,2,2,2,3,3,1,2,2.07142857142857,2,2.03571428571429
"Etelis _ carbunculus","Ruby snapper","American Samoa Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1.78571428571429,1.92307692307692,1.8543956043956
"Etelis _ carbunculus","Ruby snapper","Guam Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1.78571428571429,1.92307692307692,1.8543956043956
"Etelis _ carbunculus","Ruby snapper","Northern Mariana Islands Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1.78571428571429,1.92307692307692,1.8543956043956
