"Scientific name","Stock name","Jurisdiction","FMP","Science Center","Area","Productivity score","Susceptibility score","Vulnerability score"
"Hemilepidotus papilio","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Triglops metopias","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Artediellus pacificus","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Hemilepidotus hemilepidotus","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Triglops pingelii","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Triglops forficatus","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Icelus spiniger","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.5,3,2.06
"Sebastes borealis","Shortraker rockfish - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.43,2.33,2.06
"Monotaxis grandoculis","Bigeye bream - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.67,3,2.03
"Gymnocanthus pistilliger","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.67,3,2.03
"Sparisoma viride","Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea",2.67,3,2.03
"Sebastes borealis","Shortraker rockfish - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.43,2.25,2.01
"Calotomus carolinus","Stareye parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.83,3,2.01
"Sebastes auriculatus","Brown rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2.33,2.01
"Sebastes zacentrus","Sharpchin rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2.33,2.01
"Hemitripterus bolini","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
"Scarus iseri","Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea",2.83,3,2.01
"Hemitripterus bolini","Gulf of Alaska Sculpin Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
"Enophrys diceraus","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
"Gymnocanthus tricuspis","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
"Blepsias bilobus","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
